ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],NVDA,NVIDIA Corporation,NASDAQ,210.96,stock,common,100.00,1.00,false,0.00,USD,4.03,147404968.00,1.02,5105231969267.34,USD,32.31,6.53,110.33,0.14,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,4.03,7.01,3.19,14.46,13.98,11.13,28.38,942.29,16259.83,482092.08,4.31,2.95,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,56.97,15.22,-7.02,85.65,66.78,50.57,marubozu_white_bullish,201.99,-0.39,-0.88,1064543.00,-0.38,147404968.00,11.64,210.74,-0.10,12581119.00,24.62,32.31,0.28,19.51,26.14,40.95,43.21,63.86,5037473969267.34,19.87,31.04,30.44,199.03,205.58,209.20,197.71,191.67
[object Object],AAPL,Apple Inc.,NASDAQ,315.32,stock,common,100.00,1.00,false,0.00,USD,-0.28,30825257.00,0.38,4631217252214.19,USD,38.14,8.27,29.00,0.33,Electronic technology,america,Electronic Technology,Buy,Buy,-0.28,7.21,8.45,21.29,21.71,15.82,49.79,115.66,1203.65,245575.82,2.63,2.70,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,62.93,40.17,10.48,138.79,96.86,94.77,0.00,314.67,-0.49,-0.43,307647.00,-0.47,30825257.00,-35.95,315.14,-0.06,5829748.00,36.27,38.14,1.32,10.31,43.43,33.11,35.95,67.78,4647421252214.19,10.29,31.54,29.05,302.61,300.69,297.77,279.17,272.45
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,355.03,stock,common,100.00,1.00,false,0.00,USD,-0.34,11550956.00,0.44,4329644994886.42,USD,27.08,13.11,46.19,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.34,-0.31,-1.67,11.57,8.41,11.79,100.96,173.45,887.40,1153.48,2.98,2.79,Neutral,Neutral,Sell,Sell,Buy,Buy,47.32,12.84,-3.20,-12.21,61.75,67.62,long_lower_shadow_bullish,354.90,-0.38,-0.54,211925.00,-0.36,11550956.00,-32.91,355.00,-0.01,2071162.00,100.60,27.08,0.59,10.30,8.99,24.92,67.44,34.25,4297504172886.42,10.16,30.20,25.95,355.19,359.25,369.94,340.06,318.25
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,357.18,stock,common,100.00,1.00,false,0.00,USD,-0.48,17839649.00,0.47,4323701399890.20,USD,27.25,13.11,46.19,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.48,-0.64,-1.65,11.61,9.20,12.71,103.37,183.08,892.97,14171.93,2.85,2.88,Sell,Sell,Sell,Sell,Neutral,Neutral,46.97,13.47,-3.03,-10.10,67.81,73.10,long_lower_shadow_bullish,357.43,-0.41,-0.44,318620.00,-0.38,17839649.00,-27.86,357.07,-0.03,3080370.00,100.60,27.25,0.59,10.38,9.04,25.07,67.84,34.46,4291560577890.20,10.14,30.16,25.91,358.10,361.67,372.75,342.01,318.91
[object Object],MSFT,Microsoft Corporation,NASDAQ,385.10,stock,common,100.00,1.00,false,0.00,USD,0.19,23977195.00,0.43,2860690044002.53,USD,22.94,16.79,29.75,0.93,Technology services,america,Technology Services,StrongBuy,Strong buy,0.19,0.16,-3.37,3.25,-18.77,-20.50,-23.45,37.95,633.52,395999.69,2.56,2.90,Sell,Sell,Sell,Sell,Buy,Buy,47.52,32.27,-13.50,44.45,75.62,76.42,spinning_top_black,387.60,0.84,0.27,370982.00,0.89,23977195.00,-22.86,385.48,0.10,4301489.00,-21.79,22.94,0.77,8.99,6.90,16.85,39.32,36.63,2907850044002.53,9.14,19.52,15.10,381.77,395.80,403.62,399.35,442.28
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,245.34,stock,common,100.00,1.00,false,0.00,USD,-0.69,31214436.00,0.43,2639149142337.49,USD,29.32,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-0.69,1.55,0.71,4.27,0.32,6.05,10.74,31.06,554.24,201206.27,3.13,3.11,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,50.93,18.33,-3.46,108.66,80.47,80.68,0.00,249.49,0.99,-0.02,249491.00,1.02,31214436.00,-18.05,245.50,0.07,4105864.00,11.36,29.32,0.81,3.62,5.97,17.96,0.00,18.28,2720032142337.49,3.66,30.16,16.93,242.17,244.78,254.03,237.56,233.33
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,434.11,dr,0.00,100.00,1.00,false,0.00,USD,-0.65,9505042.00,0.63,1947501602845.92,USD,36.08,12.03,54.81,0.63,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.65,-3.65,4.87,15.58,35.73,39.15,86.49,258.21,1498.34,8219.84,3.36,3.69,Neutral,Neutral,Buy,Buy,Neutral,Neutral,49.69,-0.88,5.13,-48.27,28.13,30.32,0.00,438.11,0.26,0.58,170702.00,0.39,9505042.00,-17.02,434.83,0.17,666656.00,109.98,36.08,0.66,17.06,12.22,28.38,62.21,21.27,1877180254863.43,14.13,26.57,20.26,443.58,436.94,423.95,391.10,348.33
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,145.30,stock,common,100.00,1.00,false,0.00,USD,-4.51,45680390.00,0.51,1927713512701.33,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,-4.51,-9.03,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,-3.13,6.92,41.97,StrongSell,Strong sell,StrongSell,Strong sell,Sell,Sell,44.24,-7.70,0.00,0.00,6.93,7.59,0.00,150.10,-1.35,-1.10,969960.00,-1.34,45680390.00,-1.70,145.67,0.26,4556596.00,0.00,0.00,0.00,0.00,55.02,0.00,0.00,80.02,1941623512701.33,0.00,0.00,0.00,156.35,0.00,0.00,0.00,0.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,399.97,stock,common,100.00,1.00,false,0.00,USD,-0.28,13701397.00,0.51,1902889234355.01,USD,66.58,6.01,125.81,0.63,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.28,9.36,4.84,10.81,18.36,13.38,42.96,730.99,2445.96,24140.61,4.37,3.47,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,53.63,21.06,-14.63,110.92,68.99,52.65,spinning_top_white,397.62,-0.87,-0.65,158488.00,-0.65,13701397.00,-51.19,400.25,0.07,2370864.00,38.42,66.58,0.53,25.92,21.70,58.01,59.53,99.36,1948168234355.01,25.82,58.49,46.32,377.95,397.16,406.45,375.52,362.45
[object Object],META,Meta Platforms Inc Class A,NASDAQ,669.21,stock,common,100.00,1.00,false,0.00,USD,5.97,40131710.00,1.89,1698738087714.65,USD,24.33,27.51,7.29,0.33,Technology services,america,Technology Services,StrongBuy,Strong buy,5.97,10.09,15.24,5.48,3.68,0.98,-8.52,90.53,468.52,1491.46,5.63,3.50,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,66.34,126.34,22.65,240.59,87.75,82.62,rising_window_bullish,661.00,4.67,0.74,1575787.00,4.57,40131710.00,50.99,669.65,0.07,3285803.00,-13.28,24.33,3.15,7.53,6.97,13.84,35.56,21.05,1703987087714.65,7.93,19.23,15.59,599.16,591.42,600.45,615.76,642.72
